ID,Date,Open,High,Low,Close,Volume,Complete,Created_at,Updated_at
80225,"2024-04-23 04:41:00",154.824,154.826,154.823,154.824,29,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80226,"2024-04-23 04:42:00",154.824,154.824,154.822,154.823,18,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80227,"2024-04-23 04:43:00",154.823,154.823,154.822,154.822,35,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80228,"2024-04-23 04:44:00",154.822,154.826,154.822,154.824,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80229,"2024-04-23 04:45:00",154.824,154.824,154.819,154.82,17,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80230,"2024-04-23 04:46:00",154.82,154.821,154.818,154.82,42,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80231,"2024-04-23 04:47:00",154.82,154.822,154.82,154.82,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80232,"2024-04-23 04:48:00",154.82,154.82,154.814,154.816,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80233,"2024-04-23 04:49:00",154.816,154.821,154.816,154.821,22,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80234,"2024-04-23 04:50:00",154.821,154.824,154.821,154.824,45,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80235,"2024-04-23 04:51:00",154.824,154.827,154.824,154.824,20,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80236,"2024-04-23 04:52:00",154.824,154.826,154.824,154.824,24,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80237,"2024-04-23 04:53:00",154.824,154.834,154.824,154.834,23,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80238,"2024-04-23 04:54:00",154.834,154.836,154.834,154.836,14,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80239,"2024-04-23 04:55:00",154.836,154.838,154.834,154.837,22,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80240,"2024-04-23 04:56:00",154.837,154.837,154.831,154.832,20,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80241,"2024-04-23 04:57:00",154.832,154.836,154.829,154.836,55,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80242,"2024-04-23 04:58:00",154.836,154.836,154.832,154.832,39,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80243,"2024-04-23 04:59:00",154.832,154.839,154.831,154.836,52,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80244,"2024-04-23 05:00:00",154.836,154.838,154.83,154.833,48,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80245,"2024-04-23 05:01:00",154.833,154.835,154.832,154.834,23,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80246,"2024-04-23 05:02:00",154.834,154.838,154.832,154.832,40,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80247,"2024-04-23 05:03:00",154.832,154.832,154.824,154.827,27,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80248,"2024-04-23 05:04:00",154.827,154.828,154.826,154.828,19,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80249,"2024-04-23 05:05:00",154.828,154.828,154.827,154.828,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80250,"2024-04-23 05:06:00",154.828,154.83,154.828,154.83,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80251,"2024-04-23 05:07:00",154.83,154.83,154.826,154.827,5,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80252,"2024-04-23 05:08:00",154.827,154.831,154.827,154.83,32,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80253,"2024-04-23 05:09:00",154.83,154.834,154.828,154.834,20,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80254,"2024-04-23 05:10:00",154.834,154.84,154.834,154.839,24,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80255,"2024-04-23 05:11:00",154.839,154.84,154.836,154.839,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80256,"2024-04-23 05:12:00",154.839,154.839,154.836,154.837,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80257,"2024-04-23 05:13:00",154.837,154.838,154.835,154.838,22,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80258,"2024-04-23 05:14:00",154.838,154.838,154.836,154.837,32,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80259,"2024-04-23 05:15:00",154.837,154.837,154.834,154.836,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80260,"2024-04-23 05:16:00",154.836,154.839,154.834,154.839,24,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80261,"2024-04-23 05:17:00",154.839,154.839,154.832,154.834,12,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80262,"2024-04-23 05:18:00",154.834,154.834,154.829,154.83,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80263,"2024-04-23 05:19:00",154.83,154.83,154.828,154.828,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80264,"2024-04-23 05:20:00",154.828,154.828,154.828,154.828,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80265,"2024-04-23 05:22:00",154.828,154.831,154.828,154.831,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80266,"2024-04-23 05:23:00",154.831,154.833,154.831,154.832,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80267,"2024-04-23 05:24:00",154.832,154.832,154.83,154.832,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80268,"2024-04-23 05:25:00",154.832,154.832,154.83,154.832,7,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80269,"2024-04-23 05:26:00",154.832,154.833,154.83,154.831,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80270,"2024-04-23 05:27:00",154.831,154.839,154.831,154.838,11,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80271,"2024-04-23 05:28:00",154.838,154.838,154.838,154.838,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80272,"2024-04-23 05:29:00",154.838,154.838,154.832,154.838,12,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80273,"2024-04-23 05:30:00",154.838,154.84,154.838,154.84,14,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80274,"2024-04-23 05:31:00",154.84,154.84,154.839,154.839,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80275,"2024-04-23 05:32:00",154.839,154.84,154.836,154.84,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80276,"2024-04-23 05:33:00",154.84,154.841,154.84,154.84,14,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80277,"2024-04-23 05:34:00",154.84,154.84,154.84,154.84,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80278,"2024-04-23 05:35:00",154.84,154.841,154.84,154.84,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80279,"2024-04-23 05:36:00",154.84,154.841,154.84,154.84,17,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80280,"2024-04-23 05:37:00",154.84,154.842,154.84,154.842,7,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80281,"2024-04-23 05:38:00",154.842,154.842,154.84,154.842,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80282,"2024-04-23 05:39:00",154.842,154.842,154.841,154.842,5,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80283,"2024-04-23 05:40:00",154.842,154.842,154.838,154.838,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80284,"2024-04-23 05:41:00",154.838,154.838,154.836,154.836,16,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80285,"2024-04-23 05:42:00",154.836,154.838,154.836,154.836,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80286,"2024-04-23 05:43:00",154.836,154.836,154.83,154.832,18,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80287,"2024-04-23 05:44:00",154.832,154.836,154.832,154.836,23,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80288,"2024-04-23 05:45:00",154.836,154.84,154.832,154.839,39,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80289,"2024-04-23 05:46:00",154.839,154.84,154.838,154.839,18,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80290,"2024-04-23 05:47:00",154.839,154.84,154.838,154.838,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80291,"2024-04-23 05:48:00",154.838,154.838,154.836,154.838,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80292,"2024-04-23 05:49:00",154.838,154.84,154.838,154.838,66,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80293,"2024-04-23 05:50:00",154.838,154.84,154.838,154.838,13,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80294,"2024-04-23 05:51:00",154.838,154.846,154.838,154.841,17,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80295,"2024-04-23 05:52:00",154.841,154.844,154.838,154.842,44,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80296,"2024-04-23 05:53:00",154.842,154.844,154.842,154.842,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80297,"2024-04-23 05:54:00",154.842,154.848,154.842,154.847,26,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80298,"2024-04-23 05:55:00",154.847,154.847,154.842,154.842,26,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80299,"2024-04-23 05:56:00",154.842,154.846,154.84,154.84,17,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80300,"2024-04-23 05:57:00",154.84,154.844,154.837,154.844,26,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80301,"2024-04-23 05:58:00",154.844,154.848,154.834,154.835,34,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80302,"2024-04-23 05:59:00",154.835,154.836,154.834,154.836,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80303,"2024-04-23 06:04:00",154.836,154.84,154.836,154.84,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80304,"2024-04-23 06:05:00",154.84,154.842,154.834,154.838,11,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80305,"2024-04-23 06:06:00",154.838,154.84,154.838,154.838,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80306,"2024-04-23 06:07:00",154.838,154.838,154.834,154.838,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80307,"2024-04-23 06:08:00",154.838,154.84,154.838,154.838,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80308,"2024-04-23 06:09:00",154.838,154.84,154.838,154.84,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80309,"2024-04-23 06:10:00",154.84,154.84,154.84,154.84,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80310,"2024-04-23 06:12:00",154.84,154.84,154.834,154.834,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80311,"2024-04-23 06:13:00",154.834,154.838,154.828,154.828,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80312,"2024-04-23 06:14:00",154.828,154.835,154.828,154.835,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80313,"2024-04-23 06:15:00",154.835,154.835,154.834,154.834,18,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80314,"2024-04-23 06:16:00",154.834,154.835,154.834,154.834,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80315,"2024-04-23 06:17:00",154.834,154.834,154.832,154.834,21,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80316,"2024-04-23 06:18:00",154.834,154.834,154.832,154.834,8,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80317,"2024-04-23 06:19:00",154.834,154.836,154.834,154.834,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80318,"2024-04-23 06:20:00",154.834,154.835,154.834,154.834,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80319,"2024-04-23 06:21:00",154.834,154.836,154.834,154.835,9,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80320,"2024-04-23 06:22:00",154.835,154.838,154.835,154.836,11,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80321,"2024-04-23 06:23:00",154.836,154.837,154.832,154.832,12,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80322,"2024-04-23 06:24:00",154.832,154.837,154.832,154.837,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80323,"2024-04-23 06:25:00",154.837,154.837,154.832,154.834,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80324,"2024-04-23 06:26:00",154.834,154.834,154.828,154.829,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80325,"2024-04-23 06:27:00",154.829,154.834,154.829,154.834,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80326,"2024-04-23 06:28:00",154.834,154.835,154.834,154.835,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80327,"2024-04-23 06:29:00",154.835,154.835,154.834,154.834,6,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80328,"2024-04-23 06:30:00",154.834,154.834,154.832,154.832,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80329,"2024-04-23 06:31:00",154.832,154.832,154.831,154.832,3,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80330,"2024-04-23 06:32:00",154.832,154.834,154.832,154.834,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80331,"2024-04-23 06:33:00",154.834,154.834,154.833,154.834,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80332,"2024-04-23 06:34:00",154.834,154.834,154.832,154.834,20,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80333,"2024-04-23 06:35:00",154.834,154.834,154.83,154.833,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80334,"2024-04-23 06:36:00",154.833,154.834,154.83,154.832,21,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80335,"2024-04-23 06:37:00",154.832,154.832,154.83,154.83,12,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80336,"2024-04-23 06:38:00",154.83,154.832,154.83,154.832,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80337,"2024-04-23 06:39:00",154.832,154.832,154.83,154.83,14,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80338,"2024-04-23 06:40:00",154.83,154.832,154.83,154.83,21,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80339,"2024-04-23 06:41:00",154.83,154.832,154.83,154.832,24,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80340,"2024-04-23 06:42:00",154.832,154.834,154.826,154.834,15,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80341,"2024-04-23 06:43:00",154.834,154.834,154.824,154.824,13,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80342,"2024-04-23 06:44:00",154.824,154.832,154.823,154.832,12,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80343,"2024-04-23 06:45:00",154.832,154.834,154.832,154.834,11,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80344,"2024-04-23 06:46:00",154.834,154.834,154.831,154.834,10,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80345,"2024-04-23 06:47:00",154.834,154.834,154.831,154.832,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80346,"2024-04-23 06:48:00",154.832,154.834,154.832,154.832,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80347,"2024-04-23 06:49:00",154.832,154.833,154.832,154.833,1,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80348,"2024-04-23 06:51:00",154.833,154.833,154.828,154.828,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80349,"2024-04-23 06:52:00",154.828,154.828,154.826,154.828,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80350,"2024-04-23 06:53:00",154.828,154.83,154.828,154.83,2,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
80351,"2024-04-23 06:54:00",154.83,154.83,154.826,154.826,4,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
